"","company_category_code","funded_year","raised_amount_usd"
"631","real_estate",2008,2.2e+07
"632","games_video",2006,1.6e+07
"633","analytics",2008,47500000
"634","advertising",2010,27500000
"635","security",2009,2.3e+07
"636","consulting",2008,9800000
"637","games_video",2007,1.2e+07
"638","enterprise",2010,5500000
"639","security",2010,10500000
"640","security",2007,5e+06
"641","software",2006,1.1e+07
"642","software",2010,16200000
"643","search",2006,6300000
"644","advertising",2010,2.7e+07
"645","hardware",2006,23500000
"646","semiconductor",2006,10900000
"647","enterprise",2010,4500000
"648","enterprise",2010,13600000
"649","hardware",2006,2.1e+07
"650","public_relations",2005,1.2e+07
"651","enterprise",2010,1e+07
"652","software",2005,19480000
"653","network_hosting",2005,8500000
"654","software",2010,1.6e+07
"655","messaging",2010,1e+07
"656","mobile",2010,1.6e+07
"657","enterprise",2010,3500000
"658","semiconductor",2010,250000
"659","semiconductor",2011,4.5e+07
"660","software",2011,12500000
"661","enterprise",2011,1.1e+07
"662","security",2011,5e+07
"663","messaging",2011,1e+07
"664","analytics",2011,7500000
"665","enterprise",2011,2.1e+07
"666","software",2011,8500000
"667","enterprise",2012,1e+07
"668","software",2013,NA
"669","enterprise",2013,8e+06
"670","software",2013,1e+07
"671","nonprofit",2013,4e+05
"672","enterprise",2009,NA
"673","enterprise",2013,2e+07
"674","security",2013,18500000
"675","web",2013,1e+07
"676","advertising",2013,12100000
"677","enterprise",2013,10500000
"678","cleantech",2007,1e+08
"679","software",2012,NA
"680","enterprise",2013,2e+06
"681","software",2009,1.5e+07
"682","software",2009,7600000
"683","software",2009,10300000
"684","network_hosting",2007,1.7e+07
"685","security",2008,1.1e+07
"686","consulting",2011,5e+06
"687","software",2011,1.7e+07
"688","consulting",2011,5e+06
"689","mobile",2011,6400000
"690","enterprise",2011,NA
"691","software",2011,1.2e+07
"692","enterprise",2013,2e+06
"693","mobile",2013,1100000
"694","software",2011,80000
"695","enterprise",2013,12500000
"696","advertising",2013,12500000
"697","advertising",2010,NA
"698","cleantech",2009,1e+07
"699","games_video",2011,50000
"700","medical",2010,6e+07
"701","biotech",2012,4e+06
"702","games_video",2006,3e+05
"703","games_video",2013,2e+06
"704","games_video",2010,2000
"705","web",2005,1100000
"706","software",2007,2e+06
"707","security",2006,8500000
"708","social",2010,150000
"709","mobile",2012,1500000
"710","news",2011,5e+05
"711","education",2010,15000
"712","network_hosting",2007,9500000
"713","network_hosting",2008,10500000
"714","semiconductor",2007,1.7e+07
"715","mobile",2009,9.2e+08
"716","mobile",2009,1.5e+09
"717","mobile",2008,3.2e+09
"718","advertising",2009,4e+06
"719","ecommerce",2011,2e+06
"720","social",2013,6e+06
